"id" "muestreo" "fecha" "nro.trampa" "tipo.trampa" "sitio" "sector" "especie" "edad" "cc1" "cc2" "BCS" "peso" "largo.total" "cola" "cuerpo" "BMI" "pata" "oreja" "sexo" "testiculos" "v.seminales" "vagina" "mamas" "gestante" "cicatrices.utero" "fetos" "heridas" "observaciones" "ratio.260.280" "dsDNA" "fecha.lectura" "extraccion" "dilucion" "18S" "LipL32" "Fecha.PCR" "comentarios"
"lz25" 1 "2014-10-02" "e1" "t" "los.zapallos" "centro" "rattus?" "a" 2 2 2 104.5 30 13.5 16.5 1.66 36 19 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.79 75.78 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz25" 1 "2014-10-02" "e1" "t" "los.zapallos" "centro" "rattus?" "a" 2 2 2 104.5 30 13.5 16.5 1.66 36 19 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.61 2872.14 "2014-10-27" 1 "no" NA "n" "2015-04-27" "Repetir extracci√≥n"
"lz26" 1 "2014-10-02" "b4" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "j" 2 3 2.5 54 24.3 12 12.3 1.59 33 20 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.88 2582.77 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"lz27" 1 "2014-10-02" "b5" "t" "los.zapallos" "centro" "rattus?" "a" 3 4 3.5 84.3 31 14.5 16.5 1.58 36 21 "f" "" "" "p" "n" "n" "n" 0 "n" "" 1.18 3171.01 "2014-10-27" 1 "no" NA "n" "2015-04-27" "Repetir extracci√≥n"
"lz27" 1 "2014-10-02" "b5" "t" "los.zapallos" "centro" "rattus?" "a" 3 4 3.5 84.3 31 14.5 16.5 1.58 36 21 "f" "" "" "p" "n" "n" "n" 0 "n" "" 1.75 118.76 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz28" 1 "2014-10-02" "b2" "s" "los.zapallos" "centro" "rattus?" "a" 3 2 2.5 130.1 32.1 15.5 16.6 1.73 36 25 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.88 2554.85 "2014-10-27" 1 "no" NA "n?" "2015-04-27" "Repetir PCR"
"lz28" 1 "2014-10-02" "b2" "s" "los.zapallos" "centro" "rattus?" "a" 3 2 2.5 130.1 32.1 15.5 16.6 1.73 36 25 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.88 145.84 "2016-03-29" 1 "si" "p" "n" "2016-03-30" NA
"lz29" 1 "2014-10-02" "f5" "s" "los.zapallos" "borde" "akodon.azarae" "s" 4 3 3.5 23.6 17.5 8 9.5 1.4 20 13 "m" "a" "n" "" "" "n" "" 0 "n" "" 1.49 3239.16 "2014-10-27" 1 "no" NA "n" "2015-04-27" "Repetir extracci√≥n"
"lz30" 2 "2015-04-08" "d5" "s" "los.zapallos" "centro" "rattus?" "a" 2 2 2 130.4 31 14.5 16.5 1.74 41 25.2 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.93 1799.15 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"lz31" 2 "2015-04-08" "a3" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "s" 4 3 3.5 52.6 23 11 12 1.59 30 20 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.93 1340.29 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"lz32" 2 "2015-04-08" "n3" "s" "los.zapallos" "borde" "scapteromys.aquaticus" "s" 3 3 3 76.2 26.5 12.5 14 1.64 35.5 25.15 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.05 3122.84 "2014-10-27" 1 "no" NA "n" "2015-04-27" "Repetir extracci√≥n"
"lz32" 2 "2015-04-08" "n3" "s" "los.zapallos" "borde" "scapteromys.aquaticus" "s" 3 3 3 76.2 26.5 12.5 14 1.64 35.5 25.15 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.75 83.03 "2016-03-30" 2 "si" "p" "n" "2016-03-30" NA
"lz33" 2 "2015-04-08" "o1" "s" "los.zapallos" "borde" "akodon.azarae" "a" 4 3 3.5 22.8 15.9 7 8.9 1.43 20.5 15.1 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.07 3047.95 "2014-10-27" 1 "no" NA "n" "2015-04-27" "Repetir extracci√≥n"
"lz33" 2 "2015-04-08" "o1" "s" "los.zapallos" "borde" "akodon.azarae" "a" 4 3 3.5 22.8 15.9 7 8.9 1.43 20.5 15.1 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.71 108.39 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz34" 2 "2015-04-08" "d4" "t" "los.zapallos" "centro" "rattus?" "a" 2 2 2 174.6 33 14.5 18.5 1.77 45.2 20 "f" "" "" "p" "d" "s" "s" 3 "n" "" 1.93 1762.3 "2014-10-27" 1 "no" NA "n?" "2015-04-27" "Repetir PCR"
"lz34" 2 "2015-04-08" "d4" "t" "los.zapallos" "centro" "rattus?" "a" 2 2 2 174.6 33 14.5 18.5 1.77 45.2 20 "f" "" "" "p" "d" "s" "s" 3 "n" "" 1.75 159.39 "2016-03-29" 1 "si" "p" "n" "2016-03-30" NA
"lz35" 2 "2015-04-08" "n1" "s" "los.zapallos" "borde" "scapteromys.aquaticus" "s" 3 2 2.5 71.3 26.4 12 14.4 1.6 42 20.5 "m" "a" "n" "" "" "n" "" 0 "n" "" 1.91 1213.41 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"lz36" 2 "2015-04-09" "b5" "s" "los.zapallos" "centro" "rattus?" "a" 4 3 3.5 169.5 32.4 14 18.4 1.76 40.15 20.5 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.91 1162.71 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"lz37" 2 "2015-04-09" "a4" "s" "los.zapallos" "centro" "rattus?" "s" 4 3 3.5 105 29.8 14 15.8 1.69 35 20.5 "m" "a" "n" "" "" "n" "" 0 "n" "" 1.92 2546.08 "2014-10-27" 1 "no" "p" "n" "2015-04-27" NA
"lz38" 2 "2015-04-09" "c2" "s" "los.zapallos" "centro" "rattus?" "j" 3 2 2.5 90.3 27.3 13.5 13.8 1.72 40.2 20 "m" "a" "n" "" "" "n" "" 0 "n" "" 1.89 1387.03 "2014-10-27" 1 "no" NA "n?" "2015-04-27" "Repetir PCR"
"lz38" 2 "2015-04-09" "c2" "s" "los.zapallos" "centro" "rattus?" "j" 3 2 2.5 90.3 27.3 13.5 13.8 1.72 40.2 20 "m" "a" "n" "" "" "n" "" 0 "n" "" 1.8 176.38 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz39" 2 "2015-04-09" "d3" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "s" 2 2 2 55.1 23.1 11 12.1 1.61 30 20.1 "f" "" "" "p" "n" "n" "n" 0 "n" "" 1.96 1554.35 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"lz40" 2 "2015-04-09" "e4" "s" "los.zapallos" "centro" "rattus?" "a" 4 3 3.5 120.5 30 14 16 1.73 40.15 20 "f" "" "" "p" "n" "n" "s" 0 "s" "" 1.15 3158.21 "2014-10-27" 1 "no" "p" "n" "2015-04-27" "Repetir extracci√≥n"
"lz40" 2 "2015-04-09" "e4" "s" "los.zapallos" "centro" "rattus?" "a" 4 3 3.5 120.5 30 14 16 1.73 40.15 20 "f" "" "" "p" "n" "n" "s" 0 "s" "" 1.82 74.67 "2016-03-30" 2 "si" "p" "n" "2016-03-30" NA
"lz41" 2 "2015-04-09" "d2" "s" "los.zapallos" "centro" "rattus?" "a" 3 3 3 121.9 30.5 14 16.5 1.71 40 20.5 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.88 1144.03 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"lz42" 2 "2015-04-10" "l1" "s" "los.zapallos" "borde" "akodon.azarae" "s" 4 3 3.5 14 14 6 8 1.27 20.5 15.1 "m" "a" "n" "" "" "n" "" 0 "s" "Cola cortada" 1.21 3161.77 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"lz42" 2 "2015-04-10" "l1" "s" "los.zapallos" "borde" "akodon.azarae" "s" 4 3 3.5 14 14 6 8 1.27 20.5 15.1 "m" "a" "n" "" "" "n" "" 0 "s" "Cola cortada" 1.78 125.9 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz43" 3 "2015-10-06" "m2" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "s" 2 2 2 90.9 30.2 14.8 15.4 1.65 34.4 19.1 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.81 198.3 "2016-03-21" 1 "si" NA "n" "2016-03-23" NA
"lz44" 3 "2015-10-06" "m4" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "a" 3 2 2.5 154.3 32.8 15.7 17.1 1.77 36.4 20.4 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.79 203.24 "2016-03-22" 1 "si" NA "n" "2016-03-23" NA
"lz45" 3 "2015-10-06" "c1" "s" "los.zapallos" "borde" "akodon.azarae" "j" 1 1 1 9.2 12 5.5 6.5 1.19 17.4 11.8 "m" "a" "n" "" "" "n" "" 0 "n" "" 1.79 188.52 "2016-03-21" 1 "si" NA "n" "2016-03-23" NA
"lz46" 3 "2015-10-06" "o1" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "a" 3 2 2.5 148.4 32.3 14.7 17.6 1.74 38.1 19.75 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.79 112.41 "2016-03-11" 1 "no" NA "n" "2016-03-23" NA
"lz47" 3 "2015-10-06" "l2" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "a" 1 2 1.5 138.8 31.4 15.1 16.3 1.77 36.4 21.5 "m" "e" "d" "" "" "n" "" 0 "s" "" 1.8 103.83 "2016-03-21" 1 "si" NA "p?" "2016-03-23" "Repetir PCR"
"lz47" 3 "2015-10-06" "l2" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "a" 1 2 1.5 138.8 31.4 15.1 16.3 1.77 36.4 21.5 "m" "e" "d" "" "" "n" "" 0 "s" "" 1.8 103.83 "2016-03-21" 1 "si" "p" "p" "2016-03-30" NA
"lz48" 3 "2015-10-06" "h2" "s" "los.zapallos" "natural" "akodon.azarae" "s" 3 2 2.5 19.6 15.7 7.3 8.4 1.4 18.8 12.9 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.79 67.55 "2016-03-16" 1 "no" "n" NA "2016-03-23" "Repetir extracci√≥n"
"lz49" 3 "2015-10-06" "j2" "s" "los.zapallos" "natural" "akodon.azarae" "a" 3 2 2.5 23.7 16.3 7.2 9.1 1.43 20.3 12.6 "m" "e" "d" "" "" "n" "" 0 "s" "" 1.84 109.73 "2016-03-21" 1 "si" NA "n" "2016-03-23" NA
"lz50" 3 "2015-10-06" "a2" "s" "los.zapallos" "borde" "akodon.azarae" "a" 4 2 3 24.3 16.9 7.5 9.4 1.42 19.6 14.8 "m" "e" "d" "" "" "n" "" 0 "n" "Un testÌculo abdominal y el otro escrotal" 1.84 75.97 "2016-03-21" 1 "si" "p" "n" "2016-03-23" NA
"lz51" 3 "2015-10-06" "i2" "s" "los.zapallos" "natural" "oligoryzomys" "a" 2 1 1.5 16.8 19.3 11.4 7.9 1.37 24.1 13.3 "m" "a" "d" "" "" "n" "" 0 "n" "" 1.77 66.26 "2016-03-21" 1 "si" "p" "n" "2016-03-23" NA
"lz52" 3 "2015-10-06" "c3" "s" "los.zapallos" "borde" "akodon.azarae" "a" 2 2 2 21.2 13.6 5.2 8.4 1.43 19 12.7 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.79 101.98 "2016-03-21" 1 "si" NA "n" "2016-03-30" NA
"lz53" 3 "2015-10-06" "l3" "s" "los.zapallos" "centro" "cavia.aperea" "a" 2 2 2 481.6 28.5 NA 28.5 1.84 39 25.2 "m" "e" "" "" "" "n" "" 0 "n" "" 1.79 169.23 "2016-03-21" 1 "si" "p" NA "2016-03-30" NA
"lz54" 3 "2015-10-06" "i3" "s" "los.zapallos" "natural" "akodon.azarae" "a" 3 2 2.5 23.1 16.9 8 8.9 1.44 19.9 13.1 "f" "" "" "p" "n" "s" "" 4 "n" "" 1.82 110.24 "2016-03-21" 1 "si" NA "n" "2016-03-23" NA
"lz55" 3 "2015-10-06" "l4" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "a" 1 1 1 135.2 33.2 16.3 16.9 1.74 35.1 19.6 "m" "e" "d" "" "" "n" "" 0 "n" "El hÌgado quedÛ 24hs fuera del freezer" 1.78 127.69 "2016-03-21" 1 "si" "p" NA "2016-03-30" NA
"lz56" 3 "2015-10-06" "l4" "t" "los.zapallos" "centro" "scapteromys?" "a" 1 2 1.5 132 25.2 7.7 17.5 1.71 36.1 22.2 "m" "e" "d" "" "" "n" "" 0 "s" "Cola cortada, hÌgado sin vesÌcula, especie dudosa" 1.76 123.91 "2016-03-21" 1 "si" NA "n" "2016-03-23" NA
"lz57" 3 "2015-10-06" "l5" "t" "los.zapallos" "centro" "scapteromys?" "a" 2 1 1.5 119 30.8 14.6 16.2 1.72 35.5 22.6 "m" "e" "d" "" "" "n" "" 0 "n" "Especie dudosa" 1.67 66.6 "2016-03-21" 2 "no" "n" NA "2016-03-23" "Repetir PCR"
"lz57" 3 "2015-10-06" "l5" "t" "los.zapallos" "centro" "scapteromys?" "a" 2 1 1.5 119 30.8 14.6 16.2 1.72 35.5 22.6 "m" "e" "d" "" "" "n" "" 0 "n" "Especie dudosa" 1.8 163.22 "2016-03-30" 2 "si" "p" "n" "2016-03-30" NA
"lz58" 3 "2015-10-06" "k4" "t" "los.zapallos" "centro" "scapteromys?" "a" 2 1 1.5 117.4 32 14.7 17.3 1.67 37.4 24.3 "f" "" "" "p" "n" "n" "n" 0 "n" "Especie dudosa" 1.78 101.79 "2016-03-22" 1 "si" NA "n" "2016-03-30" NA
"lz59" 3 "2015-10-06" "m5" "t" "los.zapallos" "centro" "scapteromys?" "a" 2 1 1.5 134.6 28.1 10.2 17.9 1.7 35.1 20.3 "f" "" "" "p" "d" "n" "s" 0 "s" "Cola cortada, especie dudosa" 1.77 118.7 "2016-03-21" 1 "si" NA "n" "2016-03-23" NA
"lz60" 3 "2015-10-06" "k3" "t" "los.zapallos" "centro" "scapteromys?" "s" 1 1 1 90.4 28 13.1 14.9 1.67 34.9 21.6 "m" "e" "n" "" "" "n" "" 0 "s" "Especie dudosa" 1.79 102.65 "2016-03-21" 1 "si" NA NA NA NA
"lz61" 3 "2015-10-07" "b2" "s" "los.zapallos" "borde" "oligoryzomys" "a" 3 2 2.5 11.1 16.9 10.3 6.6 1.28 20.1 13.1 "f" "" "" "p" "n" "s" "" 0 "n" "TapÛn vaginal" 1.7 27.37 "2016-03-21" 1 "si" "p" "n" "2016-03-23" NA
"lz62" 3 "2015-10-07" "l5" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "a" 1 1 1 127.6 32.4 15.3 17.1 1.71 37.7 22.9 "m" "e" "d" "" "" "n" "" 0 "s" "Se tomÛ el peso de la carcasa" 1.78 137.41 "2016-03-22" 1 "si" NA NA NA NA
"lz63" 3 "2015-10-07" "n3" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "a" 2 1 1.5 155.2 29.7 12.5 17.2 1.77 36.35 22.45 "m" "e" "d" "" "" "n" "" 0 "s" "Pata, oreja y hocico lastimados, cola cortada" 1.83 67.97 "2016-03-21" 1 "si" NA NA NA NA
"lz64" 3 "2015-10-07" "i2" "s" "los.zapallos" "natural" "oligoryzomys" "a" 3 2 2.5 10.5 17.2 10.1 7.1 1.2 20.75 13.9 "f" "" "" "p" "n" "n" "n" 0 "n" "Cola quebrada, herida vieja" 1.8 163.28 "2016-03-21" 1 "si" "p" "n" "2016-03-23" NA
"lz65" 3 "2015-10-07" "j5" "s" "los.zapallos" "natural" "akodon.azarae" "a" 2 2 2 23.7 16.9 7.3 9.6 1.4 18.15 12.75 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.65 42.2 "2016-03-22" 1 "si" "p" "n" "2016-03-23" NA
"lz66" 3 "2015-10-07" "h5" "s" "los.zapallos" "natural" "akodon.azarae" "a" 4 2 3 23.4 15.8 7.2 8.6 1.47 19.4 15.2 "m" "e" "d" "" "" "n" "" 0 "n" "Cola quebrada, grasa abdominal" 1.53 286.04 "2016-03-22" 1 "no" "p" "n" "2016-03-23" NA
"lz67" 3 "2015-10-07" "a2" "s" "los.zapallos" "borde" "akodon.azarae" "a" 3 2 2.5 24.9 17.4 7.2 10.2 1.38 18.15 14.1 "m" "e" "d" "" "" "n" "" 0 "n" "Un testÌculo abdominal y el otro testÌculo escrotal" 1.84 109.6 "2016-03-21" 1 "si" NA "n" "2016-03-23" NA
"lz68" 3 "2015-10-07" "o6" "" "los.zapallos" "centro" "rattus?" "a" 2 2 2 105.9 35.7 19 16.7 1.66 31.5 20.7 "f" "" "" "p" "d" "s" "" 0 "s" "Encontrada muerta cerca de o3, orejas y hocico lastimados, hÌgado parasitado" 1.81 145.94 "2016-03-21" 1 "si" NA "n" "2016-03-23" NA
"lz69" 3 "2015-10-07" "m2" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "a" 2 2 2 115.5 29.8 13.4 16.4 1.7 34.15 22.9 "f" "" "" "p" "n" "n" "n" 0 "n" "" 1.79 182.35 "2016-03-21" 1 "si" NA "n" "2016-03-23" NA
"lz70" 3 "2015-10-07" "l4" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "a" NA NA NA 132.3 30.4 14.3 16.1 1.76 36.6 21.1 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.81 98.75 "2016-03-21" 1 "si" NA NA NA NA
"lz71" 3 "2015-10-07" "k5" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "a" 1 1 1 115.2 30.1 14.2 15.9 1.72 33.3 21.7 "f" "" "" "p" "d" "n" "s" 0 "n" "Bazo reducido" 1.78 124.47 "2016-03-21" 1 "si" NA NA NA NA
"lz72" 3 "2015-10-08" "m4" "t" "los.zapallos" "centro" "scapteromys.aquaticus" "a" 1 2 1.5 103.2 29.4 13.9 15.5 1.69 34.55 21.5 "f" "" "" "p" "n" "n" "n" 0 "n" "" 1.78 79.23 "2016-03-29" 1 "si" "p" "n" "2016-03-30" NA
"lz73" 3 "2015-10-08" "k3" "t" "los.zapallos" "centro" "scapteromys.aquaticus" "a" 2 2 2 129.6 32.7 15.2 17.5 1.7 37.45 22.95 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.77 164.82 "2016-03-29" 1 "si" "p" "n" "2016-03-30" NA
"lz74" 3 "2015-10-08" "o3" "s" "los.zapallos" "centro" "scapteromys.aquaticus" "a" 2 2 2 136.3 31.4 14.6 16.8 1.74 34.7 22.1 "f" "" "" "p" "d" "n" "n" 0 "s" "" 1.79 109.47 "2016-03-29" 1 "si" "p" "n" "2016-03-30" NA
"lz75" 3 "2015-10-08" "l3" "t" "los.zapallos" "centro" "cavia.aperea" "a" 2 2 2 447.9 27.2 NA 27.2 1.85 40.9 23.95 "m" "e" "d" "" "" "n" "" 0 "s" "" 1.37 116.02 "2016-03-29" 1 "si" "p" "n" "2016-03-30" NA
"lz76" 3 "2015-10-08" "e1" "s" "los.zapallos" "borde" "oligoryzomys" "s" 2 2 2 8.5 16.5 10.2 6.3 1.16 22.9 13.65 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.79 54.99 "2016-03-29" 1 "si" "p" "n" "2016-03-30" NA
"lz77" 3 "2015-10-08" "g2" "s" "los.zapallos" "natural" "akodon.azarae" "a" 4 2 3 23.9 16.9 8 8.9 1.45 19.65 13.3 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.77 108.71 "2016-03-29" 1 "si" "p" "n" "2016-03-30" NA
"lz78" 3 "2015-10-08" "f1" "s" "los.zapallos" "borde" "akodon.azarae" "j" 3 2 2.5 8.5 12.4 5.7 6.7 1.13 18.5 14.9 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.77 352.86 "2016-03-29" 1 "si" "p" "n" "2016-03-30" NA
"lz79" 3 "2015-10-08" "j1" "s" "los.zapallos" "borde" "akodon.azarae" "j" 2 2 2 10 12.8 5.7 7.1 1.17 18.3 10.1 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.78 138.77 "2016-03-29" 1 "si" "p" "n" "2016-03-30" NA
