"id" "muestreo" "fecha" "nro.trampa" "tipo.trampa" "sitio" "sector" "especie" "edad" "cc1" "cc2" "BCS" "peso" "largo.total" "cola" "cuerpo" "BMI" "pata" "oreja" "sexo" "testiculos" "v.seminales" "vagina" "mamas" "gestante" "cicatrices.utero" "fetos" "heridas" "observaciones" "ratio.260.280" "dsDNA" "fecha.lectura" "extraccion" "dilucion" "18S" "LipL32" "Fecha.PCR" "comentarios"
"cs02" 2 "2015-03-19" "e2" "s" "colastine.sur" "borde" "scapteromys.aquaticus" "s" 4 4 4 136.8 32.7 16 16.7 1.75 36 23 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.22 3229.4 "2014-10-27" 1 "no" NA "n" "2015-04-27" "Repetir extracci√≥n"
"cs03" 2 "2015-03-20" "d2" "s" "colastine.sur" "borde" "oligoryzomys" "a" 2 2 2 19.5 19.2 11 8.2 1.41 25 15 "f" "" "" "c" "d" "s" "" 4 "n" "" 1.96 1210.74 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"cs04" 2 "2015-03-20" "a2" "s" "colastine.sur" "borde" "mus.musculus" "a" 4 3 3.5 17.8 17 8.6 8.4 1.35 22 15.2 "m" "e" "d" "" "" "n" "" 0 "n" "" 2.05 1696.19 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"cs05" 3 "2015-09-25" "c4" "s" "colastine.sur" "borde" "oligoryzomys" "a" 2 2 2 17.5 19.5 11.4 8.1 1.37 23.95 13.6 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.8 179.4 "2016-03-21" 1 "si" "p" "n" "2016-03-30" NA
"cs06" 3 "2015-09-25" "a2" "s" "colastine.sur" "borde" "akodon?" "a" NA NA NA 20.6 16.2 7.7 8.5 1.41 16.35 14 "f" "" "" "c" "d" "n" "s" 0 "n" "TapÛn vaginal, hepatomegalia" 1.74 46.13 "2016-03-21" 1 "si" "p" "n" "2016-03-30" NA
"cs07" 3 "2015-09-25" "a5" "s" "colastine.sur" "borde" "oligoryzomys" "a" 2 2 2 10.6 17.6 10.6 7 1.21 23.1 14.4 "f" "" "" "p" "n" "s" "" 0 "n" "primeras etapas de gestaciÛn" 1.78 181.36 "2016-03-21" 1 "si" NA "n" "2016-03-30" NA
"cs08" 3 "2015-09-25" "l5" "s" "colastine.sur" "natural" "thylamys.pulchellus" "a" 1 1 1 12.9 19.2 10.6 8.6 1.19 14.4 15.7 "m" "e" "" "" "" "n" "" 0 "n" "" 1.77 114.47 "2016-03-29" 2 "si" "n" NA "2019-03-23" "Repetir extracci√≥n"
"cs08" 3 "2015-09-25" "l5" "s" "colastine.sur" "natural" "thylamys.pulchellus" "a" 1 1 1 12.9 19.2 10.6 8.6 1.19 14.4 15.7 "m" "e" "" "" "" "n" "" 0 "n" "" 1.74 41.31 "2016-03-22" 2 "si" "n" "n" "2016-03-30" "Negativo en 18S por ser marsupial"
"cs09" 3 "2015-09-25" "e2" "s" "colastine.sur" "borde" "scapteromys?" "a" 3 2 2.5 143.8 31.1 14.9 16.2 1.78 35.9 18.55 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.76 121.12 "2016-03-21" 1 "si" NA "n" "2016-03-30" NA
"cs10" 3 "2015-09-25" "a4" "s" "colastine.sur" "borde" "oligoryzomys" "a" 1 1 1 14.6 19.7 11.5 8.2 1.27 21.8 13.8 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.77 81.79 "2016-03-22" 1 "no" "p" "n" "2016-03-23" NA
"cs11" 3 "2015-09-25" "g3" "s" "colastine.sur" "centro" "oligoryzomys" "a" 3 2 2.5 12.4 18.4 10.7 7.7 1.23 22.4 13.1 "f" "" "" "p" "n" "n" "n" 0 "n" "" 1.71 102.35 "2016-03-04" 1 "no" NA "n" "2016-03-23" NA
"cs12" 3 "2015-09-25" "b4" "t" "colastine.sur" "borde" "cavia.aperea" "s" 2 2 2 314.8 25.3 NA 25.3 1.78 42 24.15 "m" "a" "n" "" "" "n" "" 0 "s" "" 1.71 84.13 "2016-03-16" 1 "no" "n" NA "2016-03-23" "Repetir extracci√≥n"
"cs12" 3 "2015-09-25" "b4" "t" "colastine.sur" "borde" "cavia.aperea" "s" 2 2 2 314.8 25.3 NA 25.3 1.78 42 24.15 "m" "a" "n" "" "" "n" "" 0 "s" "" 1.77 76.53 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"cs13" 3 "2015-09-26" "l2" "s" "colastine.sur" "natural" "holochilus" "a" NA NA NA 163.9 35.2 17.5 17.7 1.77 42.7 17.45 "m" "e" "" "" "" "n" "" 0 "n" "" 1.85 89.48 "2016-03-21" 1 "no" NA "n" "2016-03-30" NA
"cs14" 3 "2015-09-26" "i1" "s" "colastine.sur" "centro" "oligoryzomys" "j" 2 2 2 9 16 9.3 6.7 1.16 21.8 12.2 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.79 124.01 "2016-03-22" 2 "si" NA "n" "2016-03-30" NA
"cs15" 3 "2015-09-26" "g3" "s" "colastine.sur" "centro" "oligoryzomys" "a" 3 2 2.5 18.1 19.4 11.5 7.9 1.4 22.05 13.1 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.82 127.42 "2016-03-21" 1 "si" NA "n" "2016-03-23" NA
"cs16" 3 "2015-09-26" "b1" "t" "colastine.sur" "borde" "cavia.aperea" "a" 2 2 2 492.8 27.7 NA 27.7 1.87 47.2 21.35 "m" "e" "d" "" "" "n" "" 0 "s" "" 1.8 115.95 "2016-03-22" 1 "si" NA "n" "2016-03-23" NA
"cs17" 3 "2015-09-26" "d2" "t" "colastine.sur" "borde" "rattus?" "a" 1 1 1 178.3 42.3 22.1 20.2 1.72 33.8 21.1 "m" "e" "d" "" "" "n" "" 0 "s" "" 1.79 132.13 "2016-03-21" 1 "si" NA "n" "2016-03-23" NA
"cs18" 3 "2015-09-27" "k2" "t" "colastine.sur" "natural" "cavia.aperea" "a" 1 2 1.5 586.2 28.6 NA 28.6 1.9 44.1 26.1 "f" "" "" "c" "d" "s" "" 3 "s" "fetos en estado avanzado" 1.8 175.46 "2016-03-22" 2 "si" NA "n" "2016-03-23" NA
"cs19" 3 "2015-09-27" "m4" "s" "colastine.sur" "natural" "scapteromys.aquaticus" "a" 2 2 2 101.9 28.9 14 14.9 1.71 39.15 21.1 "f" "" "" "p" "n" "n" "n" 0 "s" "" 1.77 108.8 "2016-03-21" 1 "si" NA "n" "2016-03-23" NA
"cs20" 3 "2015-09-27" "c1" "s" "colastine.sur" "borde" "oligoryzomys" "s" 2 1 1.5 16.7 18.1 10.3 7.8 1.37 21.8 11.4 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.71 48.43 "2016-03-21" 2 "si" "p" "b" "2016-03-23" NA
"cs21" 3 "2015-09-27" "b1" "s" "colastine.sur" "borde" "oligoryzomys" "a" 1 1 1 11.9 17.8 10.1 7.7 1.21 22.2 13.1 "f" "" "" "p" "n" "s" "" 4 "n" "" 1.79 193.64 "2016-03-22" 2 "si" NA "n" "2016-03-23" NA
"cs22" 3 "2015-09-27" "e2" "s" "colastine.sur" "borde" "scapteromys.aquaticus" "a" 1 1 1 109.4 31.5 15.5 16 1.69 36.1 19.15 "f" "" "" "p" "d" "n" "n" 0 "s" "" 1.79 174.53 "2016-03-22" 1 "si" NA "n" "2016-03-23" NA
