* Block Type = 48well
* Chemistry = TAQMAN
* Experiment File Name = D:\Leptospira\15-4-27  Muestras roedores 2.eds
* Experiment Run End Time = 2015-04-27 16:54:12 PM ART
* Instrument Type = stepone
* Passive Reference = 

[Amplification Data]
Well	Cycle	ΔRn
A8	17	-4.4773
A8	18	-7.6008
A8	19	-28.375
A8	20	-6.4265
A8	21	10.8545
A8	22	7.6333
A8	23	3.7103
A8	24	-6.0853
A8	25	-13.5896
A8	26	2.9936
A8	27	11.2531
A8	28	13.1802
A8	29	34.2373
A8	30	37.7889
A8	31	86.2958
A8	32	157.5463
A8	33	281.7681
A8	34	497.5005
A8	35	805.3138
A8	36	1187.4526
A8	37	1481.8334
A8	38	1519.9314
A8	39	1452.6162
A8	40	1370.2831
B1	1	
B1	2	
B1	3	
B1	4	
B1	5	
B1	6	
B1	7	
B1	8	
B1	9	
B1	10	
B1	11	
B1	12	
B1	13	
B1	14	
B1	15	
B1	16	
B1	17	
B1	18	
B1	19	
B1	20	
B1	21	
B1	22	
B1	23	
B1	24	
B1	25	
B1	26	
B1	27	
B1	28	
B1	29	
B1	30	
B1	31	
B1	32	
B1	33	
B1	34	
B1	35	
B1	36	
B1	37	
B1	38	
B1	39	
B1	40	
B2	1	
B2	2	
B2	3	
B2	4	
B2	5	
B2	6	
B2	7	
B2	8	
B2	9	
B2	10	
B2	11	
B2	12	
B2	13	
B2	14	
B2	15	
B2	16	
B2	17	
B2	18	
B2	19	
B2	20	
B2	21	
B2	22	
B2	23	
B2	24	
B2	25	
B2	26	
B2	27	
B2	28	
B2	29	
B2	30	
B2	31	
B2	32	
B2	33	
B2	34	
B2	35	
B2	36	
B2	37	
B2	38	
B2	39	
B2	40	
B3	1	
B3	2	
B3	3	
B3	4	
B3	5	
B3	6	
B3	7	
B3	8	
B3	9	
B3	10	
B3	11	
B3	12	
B3	13	
B3	14	
B3	15	
B3	16	
B3	17	
B3	18	
B3	19	
B3	20	
B3	21	
B3	22	
B3	23	
B3	24	
B3	25	
B3	26	
B3	27	
B3	28	
B3	29	
B3	30	
B3	31	
B3	32	
B3	33	
B3	34	
B3	35	
B3	36	
B3	37	
B3	38	
B3	39	
B3	40	
B4	1	
B4	2	
B4	3	
B4	4	
B4	5	
B4	6	
B4	7	
B4	8	
B4	9	
B4	10	
B4	11	
B4	12	
B4	13	
B4	14	
B4	15	
B4	16	
B4	17	
B4	18	
B4	19	
B4	20	
B4	21	
B4	22	
B4	23	
B4	24	
B4	25	
B4	26	
B4	27	
B4	28	
B4	29	
B4	30	
B4	31	
B4	32	
B4	33	
B4	34	
B4	35	
B4	36	
B4	37	
B4	38	
B4	39	
B4	40	
B5	1	
B5	2	
B5	3	
B5	4	
B5	5	
B5	6	
B5	7	
B5	8	
B5	9	
B5	10	
B5	11	
B5	12	
B5	13	
B5	14	
B5	15	
B5	16	
B5	17	
B5	18	
B5	19	
B5	20	
B5	21	
B5	22	
B5	23	
B5	24	
B5	25	
B5	26	
B5	27	
B5	28	
B5	29	
B5	30	
B5	31	
B5	32	
B5	33	
B5	34	
B5	35	
B5	36	
B5	37	
B5	38	
B5	39	
B5	40	
B6	1	
B6	2	
B6	3	
B6	4	
B6	5	
B6	6	
B6	7	
B6	8	
B6	9	
B6	10	
B6	11	
B6	12	
B6	13	
B6	14	
B6	15	
B6	16	
B6	17	
B6	18	
B6	19	
B6	20	
B6	21	
B6	22	
B6	23	
B6	24	
B6	25	
B6	26	
B6	27	
B6	28	
B6	29	
B6	30	
B6	31	
B6	32	
B6	33	
B6	34	
B6	35	
B6	36	
B6	37	
B6	38	
B6	39	
B6	40	
B7	1	
B7	2	
B7	3	
B7	4	
B7	5	
B7	6	
B7	7	
B7	8	
B7	9	
B7	10	
B7	11	
B7	12	
B7	13	
B7	14	
B7	15	
B7	16	
B7	17	
B7	18	
B7	19	
B7	20	
B7	21	
B7	22	
B7	23	
B7	24	
B7	25	
B7	26	
B7	27	
B7	28	
B7	29	
B7	30	
B7	31	
B7	32	
B7	33	
B7	34	
B7	35	
B7	36	
B7	37	
B7	38	
B7	39	
B7	40	
B8	1	
B8	2	
B8	3	
B8	4	
B8	5	
B8	6	
B8	7	
B8	8	
B8	9	
B8	10	
B8	11	
B8	12	
B8	13	
B8	14	
B8	15	
B8	16	
B8	17	
B8	18	
B8	19	
B8	20	
B8	21	
B8	22	
B8	23	
B8	24	
B8	25	
B8	26	
B8	27	
B8	28	
B8	29	
B8	30	
B8	31	
B8	32	
B8	33	
B8	34	
B8	35	
B8	36	
B8	37	
B8	38	
B8	39	
B8	40	
C1	1	707.5135
C1	2	511.8083
C1	3	270.4064
C1	4	154.4207
C1	5	73.738
C1	6	9.391
C1	7	-40.5251
C1	8	-54.4707
C1	9	-95.3165
C1	10	-101.4952
C1	11	-108.3706
C1	12	-107.9844
C1	13	-80.9254
C1	14	-65.9701
C1	15	-25.8926
C1	16	-24.7135
C1	17	-0.8412
C1	18	-12.9101
C1	19	0.737
C1	20	-0.2997
C1	21	-10.3713
C1	22	11.122
C1	23	4.0202
C1	24	-24.4426
C1	25	4.5425
C1	26	2.7665
C1	27	16.8028
C1	28	41.1455
C1	29	62.7736
C1	30	102.6625
C1	31	115.5948
C1	32	215.4133
C1	33	320.0429
C1	34	508.23
C1	35	865.0393
C1	36	1419.2045
C1	37	2276.873
C1	38	3460.5002
C1	39	4852.5244
C1	40	5994.373
C2	1	966.4172
C2	2	507.7569
C2	3	312.7734
C2	4	133.1696
C2	5	84.9505
C2	6	64.0424
C2	7	-2.901
C2	8	3.9558
C2	9	-27.3751
C2	10	-66.0453
C2	11	-58.0581
C2	12	-42.3334
C2	13	-93.3496
C2	14	-87.7383
C2	15	-89.5421
C2	16	-103.6636
C2	17	-48.9847
C2	18	-103.801
C2	19	-111.7986
C2	20	-66.8832
C2	21	-81.8752
C2	22	-55.9743
C2	23	-18.245
C2	24	-25.229
C2	25	-20.6122
C2	26	24.0681
C2	27	26.3992
C2	28	25.0838
C2	29	14.0789
C2	30	77.8266
C2	31	40.5289
C2	32	113.3526
C2	33	69.7799
C2	34	114.4002
C2	35	136.1801
C2	36	249.9884
C2	37	348.6953
C2	38	466.9596
C2	39	768.5313
C2	40	1230.4014
C3	1	864.7477
C3	2	514.2037
C3	3	341.712
C3	4	197.5702
C3	5	159.6585
C3	6	115.1221
C3	7	58.9658
C3	8	-60.6392
C3	9	-82.6243
C3	10	-67.296
C3	11	-87.4198
C3	12	-80.1742
C3	13	-87.7653
C3	14	-103.1091
C3	15	-85.1917
C3	16	-89.5218
C3	17	-83.2647
C3	18	-102.6063
C3	19	-97.1757
C3	20	-75.0561
C3	21	-78.2222
C3	22	-91.6726
C3	23	-32.4822
C3	24	-64.0963
C3	25	-22.3107
C3	26	-6.3117
C3	27	-7.8849
C3	28	-41.4841
C3	29	18.8611
C3	30	5.049
C3	31	-1.8992
C3	32	46.8607
C3	33	47.609
C3	34	79.9884
C3	35	99.9026
C3	36	118.0745
C3	37	158.8345
C3	38	163.9213
C3	39	291.3578
C3	40	394.8998
C4	1	1030.347
C4	2	500.6221
C4	3	253.9703
C4	4	141.365
C4	5	67.1014
C4	6	8.8838
C4	7	-21.3607
