"Well"	"Cycle"	"Rn"	"delta.RN"
"132"	"LZ04"	12	120.3288	4.7176
"133"	"LZ04"	13	113.9466	8.0227
"134"	"LZ04"	14	99.6561	3.4193
"135"	"LZ04"	15	101.3935	14.844
"136"	"LZ04"	16	88.0542	11.1919
"137"	"LZ04"	17	81.9251	14.7499
"138"	"LZ04"	18	86.8938	29.4058
"139"	"LZ04"	19	72.0662	24.2654
"140"	"LZ04"	20	60.3471	22.2335
"141"	"LZ04"	21	63.8892	35.4628
"142"	"LZ04"	22	53.7372	34.9981
"143"	"LZ04"	23	25.311	16.259
"144"	"LZ04"	24	26.1402	26.7755
"145"	"LZ04"	25	24.5367	34.8591
"146"	"LZ04"	26	22.4176	42.4272
"147"	"LZ04"	27	30.3083	60.0051
"148"	"LZ04"	28	29.2697	68.6537
"149"	"LZ04"	29	24.0506	73.1218
"150"	"LZ04"	30	22.1368	80.8952
"151"	"LZ04"	31	12.9185	81.3641
"152"	"LZ04"	32	9.5032	87.636
"153"	"LZ04"	33	17.0165	104.8365
"154"	"LZ04"	34	0.5549	98.0621
"155"	"LZ04"	35	-3.9705	103.2239
"156"	"LZ04"	36	-26.4293	90.4523
"157"	"LZ04"	37	-1.2584	125.3104
"158"	"LZ04"	38	-24.9309	111.3251
"159"	"LZ04"	39	-16.7589	129.1843
"160"	"LZ04"	40	-20.4274	135.203
"161"	"LZ20"	1	-147.8513	94.708
"162"	"LZ20"	2	-180.9483	66.24
"163"	"LZ20"	3	-222.3678	29.4494
"164"	"LZ20"	4	-236.6568	19.7893
"165"	"LZ20"	5	-257.4332	3.6418
"166"	"LZ20"	6	-288.9995	-23.2955
"167"	"LZ20"	7	-296.4565	-26.1235
"168"	"LZ20"	8	-281.3617	-6.3998
"169"	"LZ20"	9	-296.6373	-17.0465
"170"	"LZ20"	10	-301.9282	-17.7084
"171"	"LZ20"	11	-285.1635	3.6852
"172"	"LZ20"	12	-297.479	-4.0014
"173"	"LZ20"	13	-283.4632	14.6433
"174"	"LZ20"	14	-287.9845	14.7509
"175"	"LZ20"	15	-298.7492	8.6152
"176"	"LZ20"	16	-306.5607	5.4326
"177"	"LZ20"	17	-306.3799	10.2424
"178"	"LZ20"	18	-303.1337	18.1175
"179"	"LZ20"	19	-294.3571	31.523
"180"	"LZ20"	20	-301.523	28.9861
"181"	"LZ20"	21	-293.1455	41.9924
"182"	"LZ20"	22	-304.9414	34.8255
"183"	"LZ20"	23	-324.8904	19.5054
"184"	"LZ20"	24	-319.3618	29.663
"185"	"LZ20"	25	-325.6832	27.9705
"186"	"LZ20"	26	-338.967	19.3156
"187"	"LZ20"	27	-331.4931	31.4185
"188"	"LZ20"	28	-340.9952	26.5453
"189"	"LZ20"	29	-342.1768	29.9926
"190"	"LZ20"	30	-352.6384	24.16
"191"	"LZ20"	31	-361.5432	19.8842
"192"	"LZ20"	32	-358.6623	27.3939
"193"	"LZ20"	33	-358.3522	32.3329
"194"	"LZ20"	34	-364.2914	31.0227
"195"	"LZ20"	35	-377.2179	22.7252
"196"	"LZ20"	36	-375.5405	29.0315
"197"	"LZ20"	37	-371.4112	37.7897
"198"	"LZ20"	38	-386.8209	27.0089
"199"	"LZ20"	39	-385.9993	32.4594
"200"	"LZ20"	40	-387.1299	35.9578
"201"	"LZ19"	1	-631.2761	124.4935
"202"	"LZ19"	2	-699.83	65.5038
"203"	"LZ19"	3	-733.2219	41.6762
"204"	"LZ19"	4	-769.7042	14.7582
"205"	"LZ19"	5	-800.5416	-6.515
"206"	"LZ19"	6	-806.3465	-2.7556
"207"	"LZ19"	7	-827.8458	-14.6907
"208"	"LZ19"	8	-834.3614	-11.642
"209"	"LZ19"	9	-861.7731	-29.4895
"210"	"LZ19"	10	-885.5869	-43.739
"211"	"LZ19"	11	-861.61	-10.1979
"212"	"LZ19"	12	-860.682	0.2944
"213"	"LZ19"	13	-849.2127	21.3279
"214"	"LZ19"	14	-860.7047	19.4002
"215"	"LZ19"	15	-868.0964	21.5728
"216"	"LZ19"	16	-857.9267	41.3067
"217"	"LZ19"	17	-856.3021	52.4956
"218"	"LZ19"	18	-875.595	42.7669
"219"	"LZ19"	19	-863.4525	64.4736
"220"	"LZ19"	20	-855.1215	82.369
"221"	"LZ19"	21	-869.4664	77.5882
"222"	"LZ19"	22	-871.7568	84.8621
"223"	"LZ19"	23	-874.1757	92.0075
"224"	"LZ19"	24	-874.8217	100.9257
"225"	"LZ19"	25	-864.1161	121.1955
"226"	"LZ19"	26	-887.8647	107.0112
"227"	"LZ19"	27	-879.3564	125.0838
"228"	"LZ19"	28	-888.8806	125.1238
"229"	"LZ19"	29	-875.0554	148.5134
"230"	"LZ19"	30	-880.4081	152.7248
"231"	"LZ19"	31	-883.5882	159.109
"232"	"LZ19"	32	-870.2936	181.9679
"233"	"LZ19"	33	-873.2049	188.6208
"234"	"LZ19"	34	-883.6382	187.7517
"235"	"LZ19"	35	-889.7832	191.171
"236"	"LZ19"	36	-888.8625	201.656
"237"	"LZ19"	37	-881.954	218.1288
"238"	"LZ19"	38	-904.0886	205.5584
"239"	"LZ19"	39	-885.9313	233.28
"240"	"LZ19"	40	-887.6655	241.11
"241"	"LZ16"	1	-455.7036	29.9333
"242"	"LZ16"	2	-439.7729	49.0097
"243"	"LZ16"	3	-476.7859	15.1425
"244"	"LZ16"	4	-486.7062	8.3678
"245"	"LZ16"	5	-498.1284	0.0913
"246"	"LZ16"	6	-505.1028	-3.7373
"247"	"LZ16"	7	-503.4191	1.0921
"248"	"LZ16"	8	-519.5268	-11.8699
"249"	"LZ16"	9	-532.1356	-21.333
"250"	"LZ16"	10	-524.8185	-10.8702
"251"	"LZ16"	11	-513.2848	3.8093
"252"	"LZ16"	12	-522.416	-2.1763
"253"	"LZ16"	13	-520.9153	2.4701
"254"	"LZ16"	14	-524.511	2.0201
"255"	"LZ16"	15	-512.6835	16.9934
"256"	"LZ16"	16	-533.1198	-0.2972
"257"	"LZ16"	17	-534.39	1.5783
"258"	"LZ16"	18	-532.4588	6.6553
"259"	"LZ16"	19	-534.385	7.8748
"260"	"LZ16"	20	-549.7841	-4.3786
"261"	"LZ16"	21	-551.0931	-2.5419
"262"	"LZ16"	22	-538.463	13.234
"263"	"LZ16"	23	-541.7234	13.1192
"264"	"LZ16"	24	-551.0285	6.9599
"265"	"LZ16"	25	-551.0254	10.1087
"266"	"LZ16"	26	-548.0773	16.2025
"267"	"LZ16"	27	-564.3083	3.1172
"268"	"LZ16"	28	-553.3671	17.2042
"269"	"LZ16"	29	-543.9358	29.7811
"270"	"LZ16"	30	-555.2377	21.625
"271"	"LZ16"	31	-567.0018	13.0066
"272"	"LZ16"	32	-580.3612	2.7929
"273"	"LZ16"	33	-589.6197	-3.3199
"274"	"LZ16"	34	-578.9179	10.5276
"275"	"LZ16"	35	-575.5376	17.0536
"276"	"LZ16"	36	-594.6597	1.0772
"277"	"LZ16"	37	-599.3613	-0.4786
"278"	"LZ16"	38	-609.395	-7.3666
"279"	"LZ16"	39	-608.1157	-2.9416
"280"	"LZ16"	40	-605.4848	2.835
"281"	"LZ05"	1	-748.1179	48.342
"282"	"LZ05"	2	-757.6832	48.6618
"283"	"LZ05"	3	-801.7231	14.5071
"284"	"LZ05"	4	-817.3519	8.7633
"285"	"LZ05"	5	-838.7872	-2.7868
"286"	"LZ05"	6	-835.3141	10.5713
"287"	"LZ05"	7	-856.2327	-0.4621
"288"	"LZ05"	8	-879.6585	-14.0028
"289"	"LZ05"	9	-877.396	-1.8552
"290"	"LZ05"	10	-919.6865	-34.2606
"291"	"LZ05"	11	-903.7707	-8.4596
"292"	"LZ05"	12	-923.0491	-17.8529
"293"	"LZ05"	13	-907.799	7.2823
"294"	"LZ05"	14	-905.7395	19.2269
"295"	"LZ05"	15	-915.5226	19.3289
"296"	"LZ05"	16	-921.4238	23.3128
"297"	"LZ05"	17	-919.9184	34.7034
"298"	"LZ05"	18	-926.3599	38.147
"299"	"LZ05"	19	-922.5162	51.8757
"300"	"LZ05"	20	-928.28	55.9971
"301"	"LZ05"	21	-941.8018	52.3604
"302"	"LZ05"	22	-935.6102	68.4371
