* Block Type = 48well
* Chemistry = TAQMAN
* Experiment File Name = D:\Leptospira\15-4-23  Muestras roedores 1.eds
* Experiment Run End Time = Not Started
* Instrument Type = stepone
* Passive Reference = 

[Amplification Data]
Well	Cycle	ΔRn
A8	26	113.3906
A8	27	122.8367
A8	28	126.411
A8	29	139.782
A8	30	130.9265
A8	31	157.8033
A8	32	179.7149
A8	33	172.0612
A8	34	174.2419
A8	35	179.446
A8	36	191.0625
A8	37	201.4833
A8	38	214.1004
A8	39	233.4569
A8	40	237.6989
B1	1	
B1	2	
B1	3	
B1	4	
B1	5	
B1	6	
B1	7	
B1	8	
B1	9	
B1	10	
B1	11	
B1	12	
B1	13	
B1	14	
B1	15	
B1	16	
B1	17	
B1	18	
B1	19	
B1	20	
B1	21	
B1	22	
B1	23	
B1	24	
B1	25	
B1	26	
B1	27	
B1	28	
B1	29	
B1	30	
B1	31	
B1	32	
B1	33	
B1	34	
B1	35	
B1	36	
B1	37	
B1	38	
B1	39	
B1	40	
B2	1	
B2	2	
B2	3	
B2	4	
B2	5	
B2	6	
B2	7	
B2	8	
B2	9	
B2	10	
B2	11	
B2	12	
B2	13	
B2	14	
B2	15	
B2	16	
B2	17	
B2	18	
B2	19	
B2	20	
B2	21	
B2	22	
B2	23	
B2	24	
B2	25	
B2	26	
B2	27	
B2	28	
B2	29	
B2	30	
B2	31	
B2	32	
B2	33	
B2	34	
B2	35	
B2	36	
B2	37	
B2	38	
B2	39	
B2	40	
B3	1	
B3	2	
B3	3	
B3	4	
B3	5	
B3	6	
B3	7	
B3	8	
B3	9	
B3	10	
B3	11	
B3	12	
B3	13	
B3	14	
B3	15	
B3	16	
B3	17	
B3	18	
B3	19	
B3	20	
B3	21	
B3	22	
B3	23	
B3	24	
B3	25	
B3	26	
B3	27	
B3	28	
B3	29	
B3	30	
B3	31	
B3	32	
B3	33	
B3	34	
B3	35	
B3	36	
B3	37	
B3	38	
B3	39	
B3	40	
B4	1	
B4	2	
B4	3	
B4	4	
B4	5	
B4	6	
B4	7	
B4	8	
B4	9	
B4	10	
B4	11	
B4	12	
B4	13	
B4	14	
B4	15	
B4	16	
B4	17	
B4	18	
B4	19	
B4	20	
B4	21	
B4	22	
B4	23	
B4	24	
B4	25	
B4	26	
B4	27	
B4	28	
B4	29	
B4	30	
B4	31	
B4	32	
B4	33	
B4	34	
B4	35	
B4	36	
B4	37	
B4	38	
B4	39	
B4	40	
B5	1	
B5	2	
B5	3	
B5	4	
B5	5	
B5	6	
B5	7	
B5	8	
B5	9	
B5	10	
B5	11	
B5	12	
B5	13	
B5	14	
B5	15	
B5	16	
B5	17	
B5	18	
B5	19	
B5	20	
B5	21	
B5	22	
B5	23	
B5	24	
B5	25	
B5	26	
B5	27	
B5	28	
B5	29	
B5	30	
B5	31	
B5	32	
B5	33	
B5	34	
B5	35	
B5	36	
B5	37	
B5	38	
B5	39	
B5	40	
B6	1	
B6	2	
B6	3	
B6	4	
B6	5	
B6	6	
B6	7	
B6	8	
B6	9	
B6	10	
B6	11	
B6	12	
B6	13	
B6	14	
B6	15	
B6	16	
B6	17	
B6	18	
B6	19	
B6	20	
B6	21	
B6	22	
B6	23	
B6	24	
B6	25	
B6	26	
B6	27	
B6	28	
B6	29	
B6	30	
B6	31	
B6	32	
B6	33	
B6	34	
B6	35	
B6	36	
B6	37	
B6	38	
B6	39	
B6	40	
B7	1	
B7	2	
B7	3	
B7	4	
B7	5	
B7	6	
B7	7	
B7	8	
B7	9	
B7	10	
B7	11	
B7	12	
B7	13	
B7	14	
B7	15	
B7	16	
B7	17	
B7	18	
B7	19	
B7	20	
B7	21	
B7	22	
B7	23	
B7	24	
B7	25	
B7	26	
B7	27	
B7	28	
B7	29	
B7	30	
B7	31	
B7	32	
B7	33	
B7	34	
B7	35	
B7	36	
B7	37	
B7	38	
B7	39	
B7	40	
B8	1	
B8	2	
B8	3	
B8	4	
B8	5	
B8	6	
B8	7	
B8	8	
B8	9	
B8	10	
B8	11	
B8	12	
B8	13	
B8	14	
B8	15	
B8	16	
B8	17	
B8	18	
B8	19	
B8	20	
B8	21	
B8	22	
B8	23	
B8	24	
B8	25	
B8	26	
B8	27	
B8	28	
B8	29	
B8	30	
B8	31	
B8	32	
B8	33	
B8	34	
B8	35	
B8	36	
B8	37	
B8	38	
B8	39	
B8	40	
C1	1	-257.2498
C1	2	-182.8335
C1	3	-108.1408
C1	4	-37.7261
C1	5	37.9972
C1	6	35.5043
C1	7	49.6696
C1	8	47.0323
C1	9	57.5909
C1	10	27.3651
C1	11	-22.6086
C1	12	-11.8199
C1	13	-27.3334
C1	14	-15.2272
C1	15	-32.3034
C1	16	-47.7236
C1	17	-45.1864
C1	18	-37.7536
C1	19	-62.0532
C1	20	-47.56
C1	21	-37.0347
C1	22	-61.2775
C1	23	-74.5455
C1	24	-59.2877
C1	25	-60.8815
C1	26	-50.3717
C1	27	-51.9317
C1	28	-57.7492
C1	29	-72.9112
C1	30	-70.4128
C1	31	-62.6286
C1	32	-57.5958
C1	33	-56.5493
C1	34	-63.4882
C1	35	-58.543
C1	36	-63.6609
C1	37	-53.4221
C1	38	-59.4464
C1	39	-56.1525
C1	40	-59.2109
C2	1	101.2087
C2	2	48.4184
C2	3	22.0033
C2	4	14.0442
C2	5	2.7514
C2	6	-9.9286
C2	7	-5.3109
C2	8	-19.9862
C2	9	-23.0422
C2	10	-23.471
C2	11	7.3593
C2	12	8.1114
C2	13	13.2176
C2	14	1.1103
C2	15	13.1414
C2	16	9.0373
C2	17	12.4034
C2	18	17.8572
C2	19	16.5898
C2	20	16.2289
C2	21	24.6522
C2	22	21.3911
C2	23	25.941
C2	24	37.6637
C2	25	43.0349
C2	26	33.1504
C2	27	33.8347
C2	28	38.9705
C2	29	41.4815
C2	30	61.0134
C2	31	48.9271
C2	32	50.8269
C2	33	42.5999
C2	34	50.8438
C2	35	58.5711
C2	36	35.0281
C2	37	56.5001
C2	38	63.4529
C2	39	91.0665
C2	40	108.1137
C3	1	79.727
C3	2	36.0817
C3	3	5.4328
C3	4	9.5826
C3	5	-9.4864
C3	6	1.1666
C3	7	-1.3937
C3	8	0.2479
C3	9	-5.8592
C3	10	-18.5434
C3	11	8.7469
C3	12	8.167
C3	13	0.3457
C3	14	-9.1306
C3	15	10.7238
C3	16	6.0476
C3	17	19.3617
C3	18	19.2348
C3	19	21.1075
C3	20	21.9685
C3	21	25.2398
C3	22	32.3988
C3	23	32.2974
C3	24	26.4481
C3	25	22.8098
C3	26	28.7232
C3	27	21.3519
C3	28	20.8384
C3	29	31.3032
C3	30	24.3675
C3	31	36.2935
C3	32	33.7254
C3	33	32.4129
C3	34	51.1167
C3	35	42.3569
C3	36	53.9814
C3	37	80.0755
C3	38	113.8802
C3	39	204.1921
C3	40	345.0455
